date,NFLX,IBM,GE,GOOG,AAPL,KO,AMZN,HD,NKE,^DJI,WMT
2018-08-16,32.244,99.1201,56.3334,59.7585,50.3943,36.1804,94.326,159.2472,70.8017,25558.7305,29.2686
2018-08-17,31.678,99.6112,56.3334,59.4846,51.4007,36.4778,94.111,159.3858,70.5363,25669.3203,29.0342
2018-08-20,32.773,99.918,56.3334,59.8219,50.8999,36.5796,93.8355,161.3174,72.6856,25758.6895,28.4853
2018-08-21,33.802,99.5498,57.8448,59.5173,50.8007,36.1804,94.171,163.192,73.3666,25822.2891,28.509
2018-08-22,34.444,99.0519,57.112,59.8001,50.8031,35.9534,95.245,162.165,73.0925,25733.5996,28.3873
2018-08-23,33.917,99.1406,57.4326,59.7035,50.907,35.7733,95.145,163.1349,73.3313,25656.9805,28.2419
2018-08-24,35.882,99.5975,57.2494,60.4599,51.0653,35.7185,95.2695,164.064,72.9244,25790.3496,28.1737
2018-08-27,36.458,100.0408,58.486,61.5084,51.4858,35.7655,96.384,164.6181,73.1013,26049.6406,28.052
2018-08-28,36.849,99.9726,58.4402,60.9799,51.9016,35.515,96.641,164.6101,73.0394,26064.0195,28.506
2018-08-29,36.804,100.6205,59.402,61.8789,52.6764,35.4837,99.905,165.2163,73.2251,26124.5703,28.3784
2018-08-30,37.098,99.5225,58.486,61.3747,53.1607,35.1862,100.119,163.2338,71.9957,25986.9199,28.5149
2018-08-31,36.768,99.8976,59.2646,60.338,53.7749,34.8888,100.6355,164.4708,72.8824,25964.8203,28.4437
2018-09-04,36.36,99.352,58.028,59.2884,53.9474,35.0375,101.9755,168.0016,70.5771,25952.4805,28.2954
2018-09-05,34.118,100.0203,57.5242,58.7674,53.5954,35.5228,99.741,167.2397,70.8608,25974.9902,28.6692
2018-09-06,34.646,99.8362,57.2952,58.0224,52.7048,35.8281,97.9155,168.6651,71.2864,25995.8691,28.6188
2018-09-07,34.868,99.1951,56.7914,57.695,52.2795,35.789,97.6035,168.9436,71.1977,25916.5391,28.4348
2018-09-10,34.841,99.3315,57.2952,57.6856,51.5779,36.0551,96.9505,172.5973,72.7937,25857.0703,28.7523
2018-09-11,35.593,99.9044,56.4708,58.3157,52.8819,36.0238,99.3575,175.1859,73.2636,25971.0605,28.6752
2018-09-12,36.995,99.9589,57.7532,57.5955,52.2252,36.196,99.5,173.6541,73.5917,25998.9199,28.4764
2018-09-13,36.815,101.5821,58.2112,58.2151,53.4867,36.1803,99.4935,171.5814,74.0084,26145.9902,28.2241
2018-09-14,36.456,101.1592,58.6273,58.0764,52.8796,36.3065,98.5095,171.2702,74.0261,26154.6699,28.0669
2018-09-17,35.035,100.8933,58.7198,57.2602,51.4716,36.5671,95.4015,170.7213,73.8222,26062.1191,28.1351
2018-09-18,36.765,101.3161,58.5349,57.5162,51.5566,36.2592,97.0525,172.8676,75.5955,26246.9609,28.3161
2018-09-19,36.696,101.6571,59.4596,58.0051,51.5873,36.2829,96.321,173.4083,74.8596,26405.7598,28.2597
2018-09-20,36.536,103.0825,57.6101,58.7867,51.9795,36.8197,97.215,172.9003,75.693,26656.9805,28.4111
2018-09-21,36.119,103.2189,56.2693,57.7574,51.4196,36.7723,95.7505,173.9899,75.8526,26743.5,28.4556
2018-09-24,36.961,102.3186,54.2811,58.118,52.159,36.3697,96.718,170.3854,74.7177,26562.0508,28.1648
2018-09-25,36.943,101.5548,52.1081,58.6767,52.4898,36.0618,98.7275,169.9513,75.1788,26492.2109,28.2182
2018-09-26,37.788,103.3961,52.6629,58.4707,52.0716,36.196,98.7425,170.0004,74.2123,26385.2793,28.0669
2018-09-27,38.071,103.3212,53.3102,59.1716,53.1418,36.3223,100.649,169.4433,74.9571,26439.9297,27.9304
2018-09-28,37.413,103.1234,52.2005,59.1136,53.3284,36.4644,100.15,169.6973,75.1167,26458.3105,27.8651
2018-10-01,38.143,104.3441,55.8994,59.2047,53.6875,36.496,100.218,170.0659,74.8862,26651.2109,28.0105
2018-10-02,37.714,104.8556,56.9628,59.4425,54.1647,36.7171,98.5655,167.7312,73.3877,26773.9395,28.233
2018-10-03,37.705,104.4942,57.7026,59.5831,54.8238,36.2118,97.638,166.9038,73.1484,26828.3906,27.9126
2018-10-04,36.365,103.1916,58.5349,57.8615,53.86,36.196,95.471,162.8979,71.0913,26627.4805,27.9541
2018-10-05,35.135,101.6366,60.9391,57.3245,52.9859,36.2197,94.4825,160.8745,71.0381,26447.0508,27.6871
2018-10-08,34.91,101.2002,62.9273,56.9095,52.863,36.6934,93.221,162.5375,71.1357,26486.7793,28.0965
2018-10-09,35.571,100.4159,62.6499,56.4067,53.5954,36.6223,93.516,160.3584,71.3041,26430.5703,28.8057
2018-10-10,32.589,97.3128,61.4015,53.5538,51.1125,36.0618,87.7625,158.679,66.4453,25598.7402,28.414
2018-10-11,32.11,94.8099,58.8123,53.4597,50.6613,35.2408,85.968,155.435,66.0641,25052.8301,27.8681
